series_type,series_id,timestamp,forecast_revenue,lower_80,upper_80,model,model_artifact
category,Home & Furniture,2018-09-16,45177.09765625,29726.351218750006,61207.1639921875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_home_furniture.json
category,Home & Furniture,2018-09-23,58585.42578125,43134.67934375,74615.4921171875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_home_furniture.json
category,Home Improvement & Garden,2018-09-02,16099.2451171875,12479.827279296875,23027.394625,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_home_improvement_garden.json
category,Home Improvement & Garden,2018-09-09,14360.1259765625,10740.708138671875,21288.275484375,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_home_improvement_garden.json
category,Home Improvement & Garden,2018-09-16,13090.7109375,9471.293099609375,20018.8604453125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_home_improvement_garden.json
category,Home Improvement & Garden,2018-09-23,17039.642578125,13420.224740234375,23967.7920859375,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_home_improvement_garden.json
category,Kids & Baby,2018-09-02,13344.115234375,7685.455367187501,22481.23953125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_kids_baby.json
category,Kids & Baby,2018-09-09,11287.98828125,5629.328414062501,20425.112578125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_kids_baby.json
category,Kids & Baby,2018-09-16,13738.3193359375,8079.659468750001,22875.4436328125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_kids_baby.json
category,Kids & Baby,2018-09-23,13519.3779296875,7860.718062500001,22656.5022265625,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_kids_baby.json
category,Kitchen & Appliances,2018-09-02,9421.0244140625,5777.06162109375,15265.005055664062,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_kitchen_appliances.json
category,Kitchen & Appliances,2018-09-09,9956.140625,6312.17783203125,15800.121266601562,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_kitchen_appliances.json
category,Kitchen & Appliances,2018-09-16,8923.7734375,5279.81064453125,14767.754079101562,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_kitchen_appliances.json
category,Kitchen & Appliances,2018-09-23,5700.36279296875,2056.3999999999996,11544.343434570312,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_kitchen_appliances.json
category,"Office, Business & Services",2018-09-02,11705.5517578125,7546.295453125001,18921.267953125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_office_business_services.json
category,"Office, Business & Services",2018-09-09,10928.0517578125,6768.795453125001,18143.767953125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_office_business_services.json
category,"Office, Business & Services",2018-09-16,9693.8447265625,5534.588421875001,16909.560921875,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_office_business_services.json
category,"Office, Business & Services",2018-09-23,10001.994140625,5842.737835937501,17217.7103359375,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_office_business_services.json
category,Pet Supplies,2018-09-02,6458.49951171875,5262.384336914063,9077.3965703125,xgboost,D:\Projects\intelligent-forecasting-agent\src\ml_layer\models\secondary\category_pet_supplies.json
