fold,train_start,train_end,validation_start,validation_end,mae,rmse,mape,interval_coverage_pct
1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,48655.2929541642,61336.99237068831,31.63192859677778,75.0
2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,31752.575448052354,33267.881492155124,13.707207471494787,100.0
3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,35200.60954696204,40738.60906959492,12.655027110537887,50.0
4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,9618.564108311402,14010.341511952287,3.884627889505396,100.0
5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,22279.4094407113,33991.37751662528,6.928352975655742,75.0
6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,103920.16163649716,117161.32510645328,54.85428560316645,25.0
7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,22056.9854119074,27649.204403628028,10.48249802668261,100.0
8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,67077.41329124165,75146.80295357903,23.925986705651205,25.0
