fold,train_start,train_end,validation_start,validation_end,mae,rmse,mape,interval_coverage_pct
1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,41540.316490203506,48860.65535861046,18.51013831425819,50.0
2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,21486.20076601008,22130.850837126058,9.254491621980602,100.0
3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,31481.73352206523,37151.81952833627,11.289300053453031,100.0
4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,24396.938836209556,26591.026648826362,9.192879270946786,75.0
5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,40890.93844116332,51363.753344229546,13.182493324885785,75.0
6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,57141.490402771604,73455.88297117353,32.20212016889123,75.0
7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,51836.49401056436,53800.814428146325,23.601914805788226,100.0
8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,29476.778385628466,37279.53570627813,11.62605696659488,75.0
