fold,train_start,train_end,validation_start,validation_end,mae,rmse,mape,interval_coverage_pct
1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,65036.98582012889,71345.88402959348,28.392196691213854,25.0
2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,48606.77470982773,51126.22419388413,20.973276650979063,25.0
3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,22793.957779688164,30897.25946636026,8.1629911708774,50.0
4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,16718.008482815683,21726.440072826135,6.666545402753209,75.0
5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,15614.464232894956,19197.23616292051,5.063515375461616,75.0
6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,93329.32592750012,109026.70756013751,50.33731810565042,25.0
7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,59358.65987776003,66537.18507900102,28.453544610609562,25.0
8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,30903.422856514582,37527.80519041627,13.878469648057637,75.0
