fold,train_start,train_end,validation_start,validation_end,mae,rmse,mape,interval_coverage_pct
1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,63516.73875000001,82828.42268827846,42.74818401914723,75.0
2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,15239.095156249998,16644.116682661694,6.547858105303378,100.0
3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,46115.800312499996,49849.34989567221,16.79687192662335,75.0
4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,17031.37953125,17166.61527630776,6.573609366768407,100.0
5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,34053.184062500004,45166.603561312666,10.87046528940535,75.0
6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,68225.70906250001,92677.28738621273,38.963858292357614,50.0
7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,69829.48765625,79288.27954019015,33.61692681508918,75.0
8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,16051.493124999994,18526.023277173485,7.17698156640804,100.0
