fold,weight_xgboost,weight_exponential_smoothing,weight_prophet,weight_lstm
1,0.25,0.25,0.25,0.25
2,0.16216644958193008,0.21915581932510672,0.24416290517617323,0.3745148259167899
3,0.20570354434443103,0.2236560169978161,0.20541422781182656,0.3652262108459263
4,0.20076810551046526,0.22880490750056034,0.23065710607807668,0.33976988091089777
5,0.207794654246072,0.24402084863300189,0.2352163373551049,0.3129681597658212
6,0.2091995743545124,0.2539838373359293,0.2523285387165605,0.2844880495929978
7,0.23130824026875038,0.22913737478018809,0.2369267572023008,0.30262762774876073
8,0.21978070110869447,0.2557825343235299,0.23175829529787384,0.29267846926990176
