model,mean_mae,mean_rmse,mean_mape,mean_interval_coverage_pct,rank
lstm,37281.361356827016,43829.29235284083,16.10742431584984,81.25,1
weighted_ensemble,36602.592936220615,43384.52620527399,17.232249243131093,75.0,2
exponential_smoothing,42570.12647973094,50412.81680308453,19.758739297433983,68.75,3
prophet,44045.199960891274,50923.092719392414,20.240982206950342,46.875,4
xgboost,41257.860957031255,50268.33728847615,20.41184442263782,81.25,5
