series_type,series_id,feature,reference_start,reference_end,current_start,current_end,comparison_type,ks_statistic,ks_p_value,psi,status
category,Food & Beverage,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,12.096551408712614,alert
category,Food & Beverage,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.7692307692307693,8.210429192461913e-08,8.632424271303847,alert
category,"Gifts, Arts & Seasonal",target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.19230769230769232,0.7327372974834561,0.23405888677488657,warning
category,"Gifts, Arts & Seasonal",lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.15384615384615385,0.9260194717268708,0.22390636578125328,warning
category,"Gifts, Arts & Seasonal",lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.3076923076923077,0.17202888984679188,2.65345830654106,alert
category,"Gifts, Arts & Seasonal",rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.23076923076923078,0.5009952475373968,4.393517346733793,alert
category,"Gifts, Arts & Seasonal",rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.3076923076923077,0.17202888984679188,4.159875066909844,alert
category,Home & Furniture,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8846153846153846,8.912754225425437e-11,9.766624510346547,alert
category,Home & Furniture,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9230769230769231,5.3476525352552624e-12,11.141550537767234,alert
category,Home & Furniture,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,10.719901745999614,alert
category,Home & Furniture,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
category,Home & Furniture,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.5769230769230769,0.00024360343414034504,2.9072584492757927,alert
category,Home Improvement & Garden,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,10.719901745999614,alert
category,Home Improvement & Garden,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,10.719901745999614,alert
category,Home Improvement & Garden,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,12.096551408712614,alert
category,Home Improvement & Garden,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
category,Home Improvement & Garden,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8076923076923077,1.0481398969100314e-08,7.266167465762865,alert
category,Kids & Baby,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.7692307692307693,8.210429192461913e-08,7.266167465762865,alert
category,Kids & Baby,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.7692307692307693,8.210429192461913e-08,8.542168096529043,alert
category,Kids & Baby,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.6923076923076923,3.034926505070743e-06,7.150465581715389,alert
category,Kids & Baby,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8461538461538461,1.091812392614616e-09,9.458573594058128,alert
category,Kids & Baby,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8461538461538461,1.091812392614616e-09,10.161727088730446,alert
category,Kitchen & Appliances,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8846153846153846,8.912754225425437e-11,11.141550537767234,alert
category,Kitchen & Appliances,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9230769230769231,5.3476525352552624e-12,12.096551408712614,alert
category,Kitchen & Appliances,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8846153846153846,8.912754225425437e-11,11.141550537767234,alert
category,Kitchen & Appliances,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
category,Kitchen & Appliances,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.5,0.002560959179420108,5.731358253390738,alert
category,"Office, Business & Services",target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8846153846153846,8.912754225425437e-11,10.188273302114167,alert
category,"Office, Business & Services",lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9230769230769231,5.3476525352552624e-12,11.141550537767234,alert
